lead_id,created_date,source,community_interest,zone,property_type_interest,budget_range,nationality,lead_score,stage,response_time_hours,total_interactions,ai_assisted,assigned_agent,conversion_value_sar,last_activity_date,follow_up_scheduled,target,conversion_probability,lead_priority
LEAD-000339,2024-11-10,Website,Al Jawharah,East,Villa,1M-2M,Pakistani,85,Won,0.5,10,False,Agent C,1710511.0,2024-11-22,False,1.0,0.9209018830245345,Hot
LEAD-000341,2024-05-26,Email Campaign,Al Yasmin,Central,Apartment,10M+,Pakistani,100,Won,11.4,12,True,Agent C,14253867.0,2024-09-01,False,1.0,0.8474057135112683,Hot
LEAD-000349,2024-02-17,Website,Al Rimal,East,Apartment,3M-5M,Jordanian,18,Lost,4.4,17,True,Agent A,0.0,2024-03-10,False,0.0,0.02874005521037504,Cold
LEAD-000351,2024-07-09,Website,Al Jawharah,East,Villa,500K-1M,Filipino,13,Lost,0.5,12,True,Agent F,0.0,2024-09-09,False,0.0,0.37243446197219326,Cool
LEAD-000353,2024-01-13,Social Media,Al Fursan,West,Villa,2M-3M,Saudi,87,Won,3.2,11,True,Agent C,2517555.0,2024-03-21,False,1.0,0.8686540253707975,Hot
LEAD-000354,2024-05-23,Call Center,Al Jawharah,East,Townhouse,3M-5M,American,43,Lost,0.9,15,True,Agent A,0.0,2024-10-20,False,0.0,0.12585059730316636,Cold
LEAD-000355,2024-04-20,Social Media,Alarous,North,Villa,1M-2M,British,42,Lost,23.4,16,False,Agent A,0.0,2024-05-02,False,0.0,0.06481944428366304,Cold
LEAD-000357,2025-07-19,Walk-in,Dar Al Salam,West,Penthouse,5M-10M,Saudi,95,Won,0.6,14,False,Agent F,7066078.0,2025-08-01,False,1.0,0.7445212240557267,Warm
LEAD-000360,2025-05-12,Website,Al Ahlam,Central,Townhouse,5M-10M,Saudi,79,Lost,1.7,17,False,Agent E,0.0,2025-10-25,False,0.0,0.28100288030344867,Cool
LEAD-000363,2025-03-17,Website,Al Nargis,Central,Townhouse,1M-2M,Jordanian,49,Lost,5.1,15,True,Agent A,0.0,2025-09-09,False,0.0,0.11383325339535935,Cold
LEAD-000364,2025-11-27,Website,Dar Al Salam,West,Duplex,3M-5M,Pakistani,52,Lost,6.8,14,True,Agent D,0.0,2025-12-21,False,0.0,0.3135807949462066,Cool
LEAD-000365,2024-10-09,Social Media,Sedra,North,Apartment,500K-1M,Saudi,47,Won,5.0,12,True,Agent E,752001.0,2025-01-02,False,1.0,0.5861993357851419,Warm
LEAD-000368,2025-06-19,Referral,Al Bayan,South,Villa,2M-3M,Saudi,28,Lost,28.3,12,True,Agent A,0.0,2025-08-06,False,0.0,0.33765675703849757,Cool
LEAD-000372,2024-12-05,Walk-in,Al Yasmin,Central,Townhouse,3M-5M,Saudi,51,Lost,2.7,13,False,Agent C,0.0,2025-02-18,False,0.0,0.3589496630196112,Cool
LEAD-000373,2024-05-09,Exhibition,Sedra,North,Townhouse,2M-3M,Egyptian,91,Won,12.0,12,True,Agent A,2813235.0,2024-05-18,False,1.0,0.7313489655404029,Warm
LEAD-000375,2024-04-06,Website,Al Rimal,East,Apartment,5M-10M,Jordanian,92,Won,2.6,13,True,Agent B,6780357.0,2024-05-18,False,1.0,0.772019179879115,Hot
LEAD-000377,2024-04-29,Referral,Marafy,South,Duplex,500K-1M,Egyptian,57,Lost,2.1,13,False,Agent B,0.0,2024-07-29,False,0.0,0.46287686042138504,Cool
LEAD-000389,2025-06-05,Call Center,Marafy,South,Apartment,1M-2M,Egyptian,58,Won,0.3,14,True,Agent D,1690190.0,2025-10-24,False,1.0,0.33654581072261414,Cool
LEAD-000396,2024-07-06,Call Center,Al Yasmin,Central,Townhouse,1M-2M,Indian,31,Won,1.3,10,False,Agent D,1579379.0,2024-12-02,False,1.0,0.6426929250275895,Warm
LEAD-000399,2025-09-06,Partner Agency,Al Rimal,East,Townhouse,5M-10M,Saudi,84,Won,31.8,10,True,Agent A,6905074.0,2025-09-27,False,1.0,0.8882530527449528,Hot
LEAD-000408,2024-06-19,Website,Al Nargis,Central,Apartment,500K-1M,Jordanian,77,Lost,3.5,15,True,Agent A,0.0,2024-11-01,False,0.0,0.4240662663362732,Cool
LEAD-000409,2024-03-11,Social Media,Al Yasmin,Central,Duplex,500K-1M,Filipino,51,Lost,3.7,13,True,Agent F,0.0,2024-05-13,False,0.0,0.43489683695467257,Cool
LEAD-000417,2024-12-16,Referral,Al Yasmin,Central,Apartment,500K-1M,Pakistani,95,Won,12.3,13,False,Agent F,638109.0,2025-04-20,False,1.0,0.8701571281180904,Hot
LEAD-000426,2024-03-22,Website,Al Ahlam,Central,Apartment,2M-3M,Egyptian,25,Lost,6.9,16,True,Agent D,0.0,2024-04-21,False,0.0,0.08159780795887646,Cold
LEAD-000427,2024-07-07,Website,Al Rimal,East,Apartment,1M-2M,UAE,73,Lost,7.3,14,True,Agent C,0.0,2024-11-27,False,0.0,0.5405385952860491,Warm
LEAD-000429,2024-02-15,Website,Al Nargis,Central,Penthouse,2M-3M,Indian,57,Lost,29.1,13,True,Agent C,0.0,2024-04-12,False,0.0,0.42201226548768406,Cool
LEAD-000432,2024-11-06,Referral,Warefa,North,Apartment,3M-5M,Saudi,88,Lost,3.3,14,True,Agent F,0.0,2024-12-03,False,0.0,0.697386483556651,Warm
LEAD-000442,2024-12-01,Referral,Alarous,North,Penthouse,10M+,Saudi,96,Lost,50.9,17,False,Agent C,0.0,2024-12-09,False,0.0,0.2788721606238629,Cool
LEAD-000449,2024-05-05,Call Center,Al Ahlam,Central,Apartment,2M-3M,American,84,Won,1.1,10,True,Agent D,2137504.0,2024-06-02,False,1.0,0.9370179924115921,Hot
LEAD-000453,2025-10-27,Social Media,Sedra,North,Apartment,5M-10M,British,94,Won,8.1,12,True,Agent F,6928092.0,2025-11-08,False,1.0,0.8721870789314644,Hot
LEAD-000455,2024-03-19,Referral,Al Jawharah,East,Duplex,3M-5M,UAE,47,Lost,13.2,15,True,Agent A,0.0,2024-08-19,False,0.0,0.14677179913537614,Cold
LEAD-000460,2024-08-18,Exhibition,Marafy,South,Townhouse,10M+,Saudi,30,Lost,3.8,17,True,Agent C,0.0,2024-09-24,False,0.0,0.03755395963097522,Cold
LEAD-000461,2025-06-06,Website,Warefa,North,Apartment,500K-1M,Saudi,16,Lost,28.0,17,False,Agent E,0.0,2025-07-20,False,0.0,0.04259166612201856,Cold
LEAD-000462,2025-10-21,Walk-in,Warefa,North,Apartment,1M-2M,Saudi,68,Won,0.5,15,True,Agent A,1708052.0,2025-11-08,False,1.0,0.3367494408305166,Cool
LEAD-000468,2024-08-09,Social Media,Al Bayan,South,Townhouse,2M-3M,Jordanian,34,Lost,5.7,10,True,Agent A,0.0,2024-12-27,False,0.0,0.627020152386646,Warm
LEAD-000472,2025-08-21,Website,Dar Al Salam,West,Townhouse,3M-5M,Egyptian,46,Lost,12.2,13,False,Agent C,0.0,2025-09-24,False,0.0,0.3116673805281948,Cool
LEAD-000475,2025-06-04,Website,Alarous,North,Villa,500K-1M,Saudi,39,Won,8.6,13,True,Agent C,836042.0,2025-06-22,False,1.0,0.31593414375441786,Cool
LEAD-000480,2024-04-21,Referral,Al Ahlam,Central,Duplex,2M-3M,Saudi,86,Won,12.6,12,False,Agent E,2286635.0,2024-05-31,False,1.0,0.8673558499847961,Hot
LEAD-000482,2024-10-10,Walk-in,Sedra,North,Penthouse,2M-3M,Egyptian,61,Lost,0.1,12,False,Agent C,0.0,2025-04-02,False,0.0,0.5910873649381635,Warm
LEAD-000488,2025-11-19,Website,Dar Al Salam,West,Townhouse,1M-2M,UAE,79,Lost,13.1,14,True,Agent D,0.0,2025-12-26,False,0.0,0.5947617935341215,Warm
LEAD-000491,2024-10-02,Partner Agency,Al Yasmin,Central,Townhouse,5M-10M,Filipino,74,Lost,26.5,16,True,Agent D,0.0,2024-11-20,False,0.0,0.32114777494422614,Cool
LEAD-000499,2024-07-22,Website,Alarous,North,Apartment,1M-2M,UAE,48,Won,2.1,9,True,Agent E,1409517.0,2024-11-15,False,1.0,0.8367058784546052,Hot
LEAD-000502,2024-03-15,Exhibition,Al Nargis,Central,Villa,3M-5M,Saudi,80,Won,27.8,12,False,Agent E,3664525.0,2024-07-02,False,1.0,0.7392668156296573,Warm
LEAD-000511,2025-02-18,Walk-in,Marafy,South,Villa,2M-3M,American,71,Won,0.2,14,False,Agent D,2431558.0,2025-02-26,False,1.0,0.3560983339984573,Cool
LEAD-000512,2024-03-24,Social Media,Al Rimal,East,Villa,500K-1M,Indian,9,Won,5.9,14,False,Agent E,807778.0,2024-08-04,False,1.0,0.08703554505008324,Cold
LEAD-000515,2025-02-19,Referral,Al Rimal,East,Apartment,1M-2M,British,76,Won,5.7,9,True,Agent B,1658068.0,2025-07-04,False,1.0,0.9048363736861201,Hot
LEAD-000516,2025-08-07,Social Media,Alarous,North,Apartment,5M-10M,Saudi,75,Won,23.3,11,True,Agent C,7962052.0,2025-08-20,False,1.0,0.8353875925343189,Hot
LEAD-000518,2025-11-30,Website,Al Jawharah,East,Townhouse,1M-2M,Indian,32,Lost,7.0,16,True,Agent B,0.0,2025-12-25,False,0.0,0.08475508834331366,Cold
LEAD-000519,2024-07-19,Referral,Al Jawharah,East,Penthouse,3M-5M,American,96,Lost,15.5,14,True,Agent A,0.0,2024-10-04,False,0.0,0.7018207028841517,Warm
LEAD-000533,2024-07-31,Call Center,Al Fursan,West,Apartment,500K-1M,UAE,76,Won,0.8,15,True,Agent D,673258.0,2024-11-02,False,1.0,0.635401682911319,Warm
LEAD-000536,2024-09-02,Social Media,Dar Al Salam,West,Duplex,5M-10M,UAE,72,Won,6.4,13,True,Agent B,7728795.0,2025-02-27,False,1.0,0.5802357403078198,Warm
LEAD-000540,2025-04-13,Website,Al Fursan,West,Villa,5M-10M,Saudi,42,Lost,14.5,17,True,Agent C,0.0,2025-06-02,False,0.0,0.06381080813318223,Cold
LEAD-000546,2024-10-23,Email Campaign,Al Jawharah,East,Duplex,3M-5M,Saudi,72,Won,0.5,9,True,Agent A,4561288.0,2024-12-21,False,1.0,0.9379765706721871,Hot
LEAD-000550,2024-12-16,Social Media,Al Jawharah,East,Apartment,3M-5M,Saudi,91,Won,1.3,10,False,Agent F,4384563.0,2025-03-11,False,1.0,0.9638043631178853,Hot
LEAD-000551,2025-08-12,Referral,Al Ahlam,Central,Townhouse,2M-3M,Indian,100,Won,14.9,10,True,Agent C,2468690.0,2025-11-18,False,1.0,0.9521724602161225,Hot
LEAD-000552,2024-07-04,Website,Dar Al Salam,West,Penthouse,1M-2M,Pakistani,48,Lost,17.7,13,True,Agent B,0.0,2024-12-14,False,0.0,0.352292239393944,Cool
LEAD-000557,2024-01-10,Referral,Al Fursan,West,Townhouse,2M-3M,American,49,Won,28.3,16,True,Agent B,2646558.0,2024-06-29,False,1.0,0.10942861413447216,Cold
LEAD-000559,2025-04-03,Website,Al Ahlam,Central,Townhouse,1M-2M,Pakistani,10,Lost,1.6,11,True,Agent B,0.0,2025-05-27,False,0.0,0.3642294216664693,Cool
LEAD-000564,2024-03-01,Exhibition,Dar Al Salam,West,Villa,2M-3M,Jordanian,60,Won,5.2,10,True,Agent C,2325831.0,2024-06-20,False,1.0,0.6920307229415101,Warm
LEAD-000569,2025-09-10,Website,Warefa,North,Apartment,1M-2M,Egyptian,100,Won,8.2,13,True,Agent A,1543702.0,2025-12-15,False,1.0,0.7694227732807811,Hot
LEAD-000577,2024-05-11,Call Center,Sedra,North,Villa,3M-5M,Saudi,27,Lost,1.6,16,True,Agent E,0.0,2024-11-06,False,0.0,0.06355490405490188,Cold
LEAD-000579,2025-01-21,Exhibition,Warefa,North,Townhouse,2M-3M,Saudi,60,Won,14.5,9,False,Agent D,2745057.0,2025-02-05,False,1.0,0.8214547834407244,Hot
LEAD-000582,2025-04-26,Social Media,Al Nargis,Central,Apartment,3M-5M,Saudi,21,Lost,8.0,14,True,Agent A,0.0,2025-05-21,False,0.0,0.14099455135442307,Cold
LEAD-000583,2025-10-22,Exhibition,Al Jawharah,East,Villa,2M-3M,Indian,91,Won,0.9,11,True,Agent E,2668685.0,2025-11-15,False,1.0,0.9186215014214247,Hot
LEAD-000588,2025-07-14,Social Media,Warefa,North,Apartment,500K-1M,American,76,Won,2.5,13,True,Agent E,672696.0,2025-07-27,False,1.0,0.6779943981598515,Warm
LEAD-000598,2025-07-31,Walk-in,Al Nargis,Central,Penthouse,500K-1M,Other,22,Lost,0.1,14,True,Agent C,0.0,2025-12-09,False,0.0,0.19794042463103387,Cold
LEAD-000608,2024-07-13,Social Media,Al Bayan,South,Villa,1M-2M,Indian,85,Won,2.4,10,True,Agent C,1416349.0,2024-09-24,False,1.0,0.9180830433484003,Hot
LEAD-000611,2024-07-26,Walk-in,Al Fursan,West,Duplex,1M-2M,Pakistani,34,Lost,4.6,16,True,Agent E,0.0,2025-01-06,False,0.0,0.13957250901502333,Cold
LEAD-000615,2024-03-28,Walk-in,Warefa,North,Penthouse,2M-3M,Indian,78,Won,1.3,10,True,Agent B,2667208.0,2024-04-26,False,1.0,0.8571638250414628,Hot
LEAD-000617,2024-08-08,Call Center,Al Yasmin,Central,Villa,1M-2M,American,52,Lost,0.6,14,True,Agent C,0.0,2024-09-16,False,0.0,0.27583885115172596,Cool
LEAD-000618,2024-03-02,Call Center,Alarous,North,Townhouse,3M-5M,UAE,56,Lost,2.1,13,False,Agent C,0.0,2024-05-17,False,0.0,0.34736701512252616,Cool
LEAD-000619,2024-05-15,Website,Al Jawharah,East,Townhouse,5M-10M,Saudi,20,Lost,2.0,12,True,Agent A,0.0,2024-06-06,False,0.0,0.2606308894048854,Cool
LEAD-000621,2025-05-21,Website,Al Jawharah,East,Apartment,5M-10M,UAE,10,Lost,3.1,16,True,Agent E,0.0,2025-09-20,False,0.0,0.052490001454842145,Cold
LEAD-000640,2024-12-04,Walk-in,Marafy,South,Duplex,5M-10M,Egyptian,88,Won,1.1,15,False,Agent D,8492173.0,2024-12-27,False,1.0,0.5822243182481859,Warm
LEAD-000641,2024-12-06,Exhibition,Dar Al Salam,West,Villa,500K-1M,Saudi,70,Won,8.1,12,False,Agent F,715806.0,2025-01-22,False,1.0,0.7637179614513857,Hot
LEAD-000645,2024-04-21,Exhibition,Al Ahlam,Central,Townhouse,1M-2M,British,31,Won,22.5,10,True,Agent E,1369179.0,2024-09-09,False,1.0,0.6609016775618334,Warm
LEAD-000648,2025-07-10,Walk-in,Al Jawharah,East,Villa,2M-3M,Saudi,48,Lost,2.0,13,False,Agent E,0.0,2025-09-10,False,0.0,0.3808688070710573,Cool
