lead_id,created_date,source,community_interest,zone,property_type_interest,budget_range,nationality,lead_score,stage,response_time_hours,total_interactions,ai_assisted,assigned_agent,conversion_value_sar,last_activity_date,follow_up_scheduled
LEAD-000028,2025-11-20,Referral,Sedra,North,Townhouse,2M-3M,Other,73,Lost,2.6,14,True,Agent F,0.0,2025-11-28,False
LEAD-000029,2024-09-09,Website,Alarous,North,Townhouse,3M-5M,UAE,27,Contacted,8.2,5,False,Agent B,0.0,2025-12-19,False
LEAD-000030,2025-01-10,Exhibition,Al Yasmin,Central,Duplex,2M-3M,UAE,97,Won,1.6,16,True,Agent F,2546400.0,2025-01-28,False
LEAD-000031,2025-01-03,Walk-in,Al Bayan,South,Apartment,500K-1M,Filipino,91,Negotiation,4.5,9,True,Agent D,0.0,2025-12-19,False
LEAD-000032,2024-03-16,Social Media,Al Fursan,West,Duplex,10M+,Jordanian,43,Contacted,4.8,7,False,Agent D,0.0,2025-12-27,False
LEAD-000033,2025-07-22,Website,Al Yasmin,Central,Townhouse,500K-1M,Egyptian,69,Site Visit,1.5,6,True,Agent B,0.0,2025-12-22,True
LEAD-000034,2024-09-09,Call Center,Marafy,South,Villa,3M-5M,Indian,73,Lost,8.5,14,False,Agent F,0.0,2025-02-21,False
LEAD-000035,2025-03-20,Social Media,Al Bayan,South,Townhouse,5M-10M,Saudi,53,Qualified,0.7,4,True,Agent E,0.0,2025-12-23,False
LEAD-000036,2025-01-21,Referral,Al Jawharah,East,Townhouse,1M-2M,American,69,Contacted,9.7,3,False,Agent B,0.0,2025-12-23,True
LEAD-000037,2024-05-22,Referral,Al Yasmin,Central,Apartment,1M-2M,Pakistani,62,Contacted,4.9,1,True,Agent D,0.0,2025-12-22,True
LEAD-000038,2024-11-11,Referral,Al Fursan,West,Townhouse,1M-2M,Egyptian,99,Negotiation,1.7,6,True,Agent F,0.0,2025-12-30,True
LEAD-000039,2025-12-09,Walk-in,Warefa,North,Villa,5M-10M,Jordanian,68,Proposal Sent,1.3,8,False,Agent C,0.0,2025-12-27,False
LEAD-000040,2024-08-04,Email Campaign,Dar Al Salam,West,Apartment,500K-1M,Saudi,54,Site Visit,16.6,6,False,Agent E,0.0,2025-12-27,False
LEAD-000041,2025-04-02,Social Media,Al Yasmin,Central,Townhouse,500K-1M,Other,22,Negotiation,11.6,10,True,Agent B,0.0,2025-12-22,True
LEAD-000042,2024-04-27,Call Center,Warefa,North,Penthouse,2M-3M,Jordanian,45,Contacted,0.1,4,False,Agent E,0.0,2025-12-18,False
LEAD-000043,2025-03-10,Partner Agency,Al Fursan,West,Duplex,2M-3M,Indian,32,Negotiation,9.5,9,True,Agent D,0.0,2025-12-18,True
LEAD-000044,2025-07-16,Walk-in,Al Nargis,Central,Townhouse,3M-5M,Pakistani,34,Contacted,1.7,5,True,Agent A,0.0,2025-12-25,True
LEAD-000045,2024-04-04,Social Media,Marafy,South,Villa,3M-5M,UAE,50,Lost,11.1,17,True,Agent E,0.0,2024-04-15,False
LEAD-000046,2025-04-10,Social Media,Al Ahlam,Central,Villa,500K-1M,Egyptian,38,Site Visit,14.1,4,True,Agent A,0.0,2025-12-23,True
LEAD-000047,2024-02-25,Call Center,Sedra,North,Villa,3M-5M,Pakistani,39,Qualified,1.3,3,True,Agent F,0.0,2025-12-24,False
LEAD-000048,2025-10-27,Website,Marafy,South,Villa,3M-5M,British,42,Qualified,1.3,6,False,Agent D,0.0,2025-12-22,True
LEAD-000049,2024-09-29,Website,Al Rimal,East,Townhouse,1M-2M,Saudi,6,Site Visit,7.8,6,True,Agent F,0.0,2025-12-30,True
LEAD-000050,2025-01-03,Referral,Al Rimal,East,Villa,1M-2M,Indian,26,Lost,11.2,16,True,Agent F,0.0,2025-01-30,False
LEAD-000051,2025-12-10,Social Media,Al Nargis,Central,Penthouse,500K-1M,British,53,Lost,0.5,16,False,Agent F,0.0,2025-12-24,False
LEAD-000052,2025-07-27,Partner Agency,Dar Al Salam,West,Apartment,1M-2M,Pakistani,38,Qualified,8.5,2,True,Agent A,0.0,2025-12-22,False
LEAD-000053,2025-07-03,Referral,Dar Al Salam,West,Duplex,1M-2M,Jordanian,50,Site Visit,9.6,2,True,Agent B,0.0,2025-12-28,True
LEAD-000054,2025-09-04,Website,Al Jawharah,East,Apartment,2M-3M,UAE,61,Won,40.2,12,True,Agent C,2828755.0,2025-11-25,False
LEAD-000055,2025-06-30,Partner Agency,Al Ahlam,Central,Villa,3M-5M,British,65,Won,2.5,14,True,Agent F,4027679.0,2025-11-15,False
LEAD-000056,2025-08-23,Call Center,Al Jawharah,East,Apartment,2M-3M,Indian,55,Site Visit,1.2,8,True,Agent A,0.0,2025-12-31,True
LEAD-000057,2025-09-07,Website,Al Bayan,South,Villa,5M-10M,Jordanian,42,Proposal Sent,11.6,10,True,Agent C,0.0,2025-12-28,False
LEAD-000058,2025-03-16,Social Media,Al Yasmin,Central,Apartment,500K-1M,Saudi,48,Proposal Sent,1.3,14,True,Agent D,0.0,2025-12-19,True
LEAD-000059,2025-11-26,Referral,Marafy,South,Villa,1M-2M,Indian,82,Proposal Sent,9.4,13,True,Agent E,0.0,2025-12-28,True
LEAD-000060,2025-07-03,Website,Al Bayan,South,Townhouse,5M-10M,Saudi,63,Negotiation,0.5,14,False,Agent D,0.0,2025-12-20,True
LEAD-000061,2024-11-19,Exhibition,Al Yasmin,Central,Apartment,1M-2M,Jordanian,33,Negotiation,32.7,12,False,Agent A,0.0,2025-12-18,True
LEAD-000062,2024-12-11,Call Center,Al Ahlam,Central,Penthouse,1M-2M,Saudi,60,Site Visit,2.7,4,True,Agent A,0.0,2025-12-27,True
LEAD-000063,2025-07-28,Social Media,Al Rimal,East,Duplex,1M-2M,Saudi,43,Contacted,7.2,6,True,Agent A,0.0,2025-12-25,True
LEAD-000064,2025-05-15,Partner Agency,Sedra,North,Apartment,1M-2M,Saudi,51,Lost,7.4,12,True,Agent F,0.0,2025-07-23,False
LEAD-000065,2025-12-01,Website,Al Bayan,South,Apartment,500K-1M,Pakistani,53,Contacted,2.5,2,True,Agent F,0.0,2025-12-24,True
LEAD-000066,2025-08-12,Exhibition,Warefa,North,Townhouse,2M-3M,UAE,36,Contacted,23.7,3,False,Agent B,0.0,2025-12-22,False
LEAD-000067,2024-06-10,Social Media,Al Bayan,South,Duplex,3M-5M,American,74,Qualified,2.6,1,True,Agent F,0.0,2025-12-23,False
LEAD-000068,2025-08-01,Partner Agency,Al Fursan,West,Villa,500K-1M,Saudi,64,Won,6.1,13,False,Agent E,728938.0,2025-10-01,False
LEAD-000069,2024-01-07,Walk-in,Sedra,North,Villa,500K-1M,Saudi,31,Lost,3.4,18,True,Agent B,0.0,2024-05-22,False
LEAD-000070,2025-12-07,Referral,Al Fursan,West,Penthouse,1M-2M,Pakistani,83,Contacted,44.1,2,False,Agent A,0.0,2025-12-22,True
LEAD-000071,2024-02-28,Partner Agency,Sedra,North,Townhouse,2M-3M,Pakistani,34,Contacted,12.4,6,True,Agent B,0.0,2025-12-22,False
LEAD-000072,2025-09-01,Social Media,Dar Al Salam,West,Penthouse,2M-3M,British,34,Qualified,8.3,4,False,Agent E,0.0,2025-12-22,True
LEAD-000073,2024-01-27,Partner Agency,Al Ahlam,Central,Apartment,1M-2M,Indian,100,Won,6.2,12,False,Agent F,1296135.0,2024-03-27,False
LEAD-000074,2024-12-28,Website,Al Yasmin,Central,Apartment,1M-2M,UAE,31,Negotiation,4.2,6,True,Agent B,0.0,2025-12-25,True
LEAD-000075,2025-02-09,Exhibition,Sedra,North,Villa,2M-3M,Saudi,64,Lost,2.0,15,True,Agent B,0.0,2025-04-29,False
LEAD-000076,2025-12-13,Social Media,Sedra,North,Townhouse,3M-5M,UAE,64,Proposal Sent,14.2,9,True,Agent B,0.0,2025-12-20,True
LEAD-000077,2024-02-13,Call Center,Sedra,North,Villa,10M+,UAE,63,Won,2.6,10,False,Agent E,15865245.0,2024-03-15,False
LEAD-000078,2025-04-10,Referral,Dar Al Salam,West,Duplex,5M-10M,Saudi,83,Site Visit,10.1,7,False,Agent F,0.0,2025-12-27,False
LEAD-000079,2025-11-18,Website,Dar Al Salam,West,Duplex,2M-3M,American,40,Won,0.5,14,True,Agent C,2545508.0,2025-12-28,False
LEAD-000080,2024-05-10,Walk-in,Marafy,South,Townhouse,2M-3M,Jordanian,68,Proposal Sent,2.7,13,True,Agent E,0.0,2025-12-22,False
LEAD-000081,2025-03-25,Website,Al Rimal,East,Duplex,500K-1M,Saudi,62,Contacted,0.5,2,True,Agent A,0.0,2025-12-19,True
LEAD-000082,2025-11-27,Referral,Al Fursan,West,Duplex,3M-5M,UAE,96,Qualified,1.4,3,True,Agent F,0.0,2025-12-30,True
LEAD-000083,2024-10-19,Website,Sedra,North,Duplex,500K-1M,Saudi,30,Lost,19.2,14,True,Agent D,0.0,2024-12-03,False
LEAD-000084,2025-03-15,Partner Agency,Marafy,South,Townhouse,2M-3M,Saudi,53,Site Visit,8.6,7,True,Agent B,0.0,2025-12-23,True
LEAD-000085,2025-05-20,Exhibition,Al Ahlam,Central,Penthouse,2M-3M,Saudi,100,Won,3.6,13,True,Agent B,2647015.0,2025-05-29,False
LEAD-000086,2024-06-08,Referral,Marafy,South,Apartment,500K-1M,American,62,Site Visit,3.8,9,True,Agent C,0.0,2025-12-23,False
LEAD-000087,2024-06-18,Call Center,Marafy,South,Duplex,3M-5M,Saudi,45,Site Visit,6.5,7,True,Agent D,0.0,2025-12-27,False
LEAD-000088,2024-04-23,Referral,Alarous,North,Penthouse,1M-2M,Indian,32,Lost,19.2,15,False,Agent A,0.0,2024-06-27,False
LEAD-000089,2025-07-24,Website,Dar Al Salam,West,Villa,5M-10M,Saudi,41,Lost,39.0,16,True,Agent B,0.0,2025-12-15,False
LEAD-000090,2025-11-02,Social Media,Al Bayan,South,Villa,3M-5M,British,45,Contacted,11.5,3,False,Agent A,0.0,2025-12-24,True
LEAD-000091,2025-11-30,Website,Alarous,North,Villa,1M-2M,Saudi,73,Site Visit,2.4,6,False,Agent F,0.0,2025-12-28,True
LEAD-000092,2025-04-28,Website,Dar Al Salam,West,Villa,3M-5M,Indian,36,New,23.0,1,False,Agent E,0.0,2025-12-20,False
LEAD-000093,2024-08-14,Referral,Al Fursan,West,Villa,500K-1M,Saudi,96,Won,7.1,12,True,Agent E,849968.0,2024-11-27,False
LEAD-000094,2025-01-31,Call Center,Al Bayan,South,Penthouse,1M-2M,British,35,Contacted,4.1,4,False,Agent D,0.0,2025-12-19,False
LEAD-000095,2024-03-24,Social Media,Al Jawharah,East,Townhouse,1M-2M,Saudi,68,Qualified,24.3,6,False,Agent B,0.0,2025-12-20,True
LEAD-000096,2025-08-06,Website,Al Jawharah,East,Penthouse,3M-5M,Pakistani,59,Negotiation,1.7,10,True,Agent D,0.0,2025-12-22,True
LEAD-000097,2025-07-11,Referral,Al Bayan,South,Villa,3M-5M,UAE,64,Contacted,10.5,1,True,Agent C,0.0,2025-12-19,True
LEAD-000098,2024-09-30,Walk-in,Warefa,North,Townhouse,2M-3M,Saudi,80,Won,0.1,13,True,Agent A,2306534.0,2025-02-04,False
LEAD-000099,2024-02-15,Website,Al Ahlam,Central,Apartment,3M-5M,Jordanian,32,Qualified,0.5,5,True,Agent F,0.0,2025-12-25,True
LEAD-000100,2024-03-30,Walk-in,Warefa,North,Penthouse,500K-1M,Indian,69,Negotiation,1.9,10,True,Agent D,0.0,2025-12-24,False
LEAD-000101,2024-11-13,Exhibition,Dar Al Salam,West,Townhouse,3M-5M,Jordanian,87,Proposal Sent,0.5,11,True,Agent F,0.0,2025-12-21,False
LEAD-000102,2024-01-12,Website,Al Jawharah,East,Penthouse,1M-2M,Other,29,Proposal Sent,12.9,9,True,Agent B,0.0,2025-12-26,False
LEAD-000103,2025-10-23,Social Media,Marafy,South,Duplex,3M-5M,Saudi,39,New,3.6,1,True,Agent F,0.0,2025-12-27,False
LEAD-000104,2024-01-24,Social Media,Al Nargis,Central,Apartment,3M-5M,Egyptian,69,Negotiation,0.5,14,True,Agent D,0.0,2025-12-30,True
LEAD-000105,2024-10-21,Social Media,Alarous,North,Villa,1M-2M,UAE,74,Qualified,18.0,4,True,Agent F,0.0,2025-12-25,True
LEAD-000106,2025-06-09,Email Campaign,Al Bayan,South,Townhouse,500K-1M,UAE,46,Site Visit,10.4,5,False,Agent F,0.0,2025-12-31,True
LEAD-000107,2024-01-28,Social Media,Al Yasmin,Central,Villa,2M-3M,Jordanian,21,Contacted,25.8,1,True,Agent B,0.0,2025-12-19,True
LEAD-000108,2024-12-26,Social Media,Al Nargis,Central,Apartment,5M-10M,Saudi,34,Site Visit,5.3,3,True,Agent A,0.0,2025-12-31,False
LEAD-000109,2024-06-04,Call Center,Al Ahlam,Central,Villa,500K-1M,Saudi,50,Lost,0.1,13,True,Agent F,0.0,2024-08-08,False
LEAD-000110,2024-06-09,Referral,Al Fursan,West,Villa,10M+,Other,93,Proposal Sent,8.7,11,True,Agent D,0.0,2025-12-26,True
LEAD-000111,2025-01-18,Website,Al Nargis,Central,Apartment,1M-2M,Indian,37,Lost,2.3,18,False,Agent B,0.0,2025-07-14,False
LEAD-000112,2025-02-17,Referral,Sedra,North,Penthouse,5M-10M,Pakistani,78,Lost,11.0,14,False,Agent F,0.0,2025-04-17,False
LEAD-000113,2024-10-30,Walk-in,Al Rimal,East,Townhouse,1M-2M,Jordanian,81,Lost,2.8,14,True,Agent A,0.0,2025-01-12,False
LEAD-000114,2025-09-01,Social Media,Al Nargis,Central,Apartment,3M-5M,Pakistani,44,Won,1.5,15,True,Agent A,3794057.0,2025-11-11,False
LEAD-000115,2024-03-16,Walk-in,Al Yasmin,Central,Townhouse,2M-3M,Jordanian,21,New,1.8,4,True,Agent F,0.0,2025-12-22,False
LEAD-000116,2024-01-03,Referral,Marafy,South,Townhouse,2M-3M,Saudi,41,Qualified,10.4,1,True,Agent C,0.0,2025-12-25,False
LEAD-000117,2025-05-12,Exhibition,Dar Al Salam,West,Villa,1M-2M,Saudi,75,Qualified,31.4,5,True,Agent E,0.0,2025-12-19,True
LEAD-000118,2024-11-29,Referral,Al Yasmin,Central,Villa,1M-2M,British,26,Site Visit,15.1,7,True,Agent D,0.0,2025-12-22,True
LEAD-000119,2025-04-03,Website,Al Fursan,West,Villa,2M-3M,Indian,53,Contacted,39.5,1,True,Agent F,0.0,2025-12-31,True
LEAD-000120,2025-11-15,Walk-in,Dar Al Salam,West,Villa,2M-3M,Egyptian,91,Negotiation,0.4,9,True,Agent B,0.0,2025-12-24,False
LEAD-000121,2024-02-18,Website,Al Yasmin,Central,Townhouse,3M-5M,American,70,Proposal Sent,1.9,12,True,Agent E,0.0,2025-12-31,False
LEAD-000122,2024-08-13,Referral,Al Yasmin,Central,Villa,500K-1M,Indian,84,Negotiation,5.9,13,True,Agent F,0.0,2025-12-23,False
LEAD-000123,2024-09-19,Walk-in,Alarous,North,Townhouse,2M-3M,Indian,72,Site Visit,4.7,9,False,Agent D,0.0,2025-12-24,True
LEAD-000124,2025-11-06,Website,Marafy,South,Townhouse,1M-2M,Jordanian,74,Proposal Sent,0.9,10,True,Agent F,0.0,2025-12-24,True
LEAD-000125,2025-01-15,Referral,Al Ahlam,Central,Apartment,10M+,Indian,100,Proposal Sent,0.7,11,True,Agent D,0.0,2025-12-27,True
LEAD-000126,2024-10-13,Exhibition,Al Bayan,South,Townhouse,500K-1M,Egyptian,45,Negotiation,19.0,11,False,Agent E,0.0,2025-12-25,True
LEAD-000127,2024-04-13,Website,Al Nargis,Central,Duplex,2M-3M,British,96,Qualified,16.9,5,True,Agent D,0.0,2025-12-26,True
LEAD-000128,2025-05-23,Website,Sedra,North,Villa,1M-2M,UAE,25,Site Visit,20.9,5,True,Agent B,0.0,2025-12-28,False
LEAD-000129,2024-09-18,Partner Agency,Dar Al Salam,West,Apartment,2M-3M,UAE,5,Site Visit,11.9,7,False,Agent B,0.0,2025-12-18,False
LEAD-000130,2024-03-07,Exhibition,Al Nargis,Central,Penthouse,1M-2M,Saudi,51,Lost,10.2,13,False,Agent B,0.0,2024-04-07,False
LEAD-000131,2024-09-09,Call Center,Al Nargis,Central,Apartment,500K-1M,American,39,Lost,3.5,16,False,Agent B,0.0,2025-01-29,False
LEAD-000132,2025-06-20,Website,Al Fursan,West,Apartment,500K-1M,Jordanian,64,New,0.5,1,True,Agent C,0.0,2025-12-29,True
LEAD-000133,2024-12-10,Website,Dar Al Salam,West,Apartment,2M-3M,Saudi,25,New,18.3,1,True,Agent D,0.0,2025-12-31,True
LEAD-000134,2025-09-06,Website,Al Yasmin,Central,Apartment,1M-2M,Jordanian,5,Contacted,26.1,4,True,Agent E,0.0,2025-12-29,True
LEAD-000135,2024-04-01,Referral,Al Bayan,South,Apartment,3M-5M,Saudi,53,New,3.6,1,False,Agent B,0.0,2025-12-24,True
LEAD-000136,2024-03-05,Social Media,Al Rimal,East,Villa,10M+,British,59,Contacted,9.5,4,True,Agent D,0.0,2025-12-25,True
LEAD-000137,2025-05-24,Website,Al Nargis,Central,Villa,3M-5M,British,70,Site Visit,37.5,7,True,Agent A,0.0,2025-12-24,True
LEAD-000138,2024-05-08,Call Center,Sedra,North,Penthouse,500K-1M,Filipino,93,Won,4.5,11,True,Agent A,652497.0,2024-08-10,False
LEAD-000139,2024-06-21,Website,Al Fursan,West,Townhouse,3M-5M,Saudi,54,New,0.9,1,True,Agent E,0.0,2025-12-28,False
LEAD-000140,2024-12-31,Email Campaign,Al Nargis,Central,Apartment,3M-5M,Saudi,73,Qualified,0.5,6,True,Agent D,0.0,2025-12-31,True
LEAD-000141,2024-12-25,Walk-in,Warefa,North,Apartment,500K-1M,Saudi,60,Lost,1.3,14,False,Agent B,0.0,2025-05-29,False
LEAD-000142,2025-11-06,Social Media,Marafy,South,Villa,2M-3M,Filipino,97,Qualified,0.5,5,True,Agent B,0.0,2025-12-25,True
LEAD-000143,2025-05-02,Social Media,Al Fursan,West,Townhouse,1M-2M,Saudi,54,Qualified,0.5,6,False,Agent B,0.0,2025-12-18,False
LEAD-000144,2025-05-11,Social Media,Warefa,North,Apartment,1M-2M,Other,57,Qualified,0.7,8,True,Agent F,0.0,2025-12-21,True
LEAD-000145,2025-04-10,Website,Al Yasmin,Central,Apartment,3M-5M,Saudi,74,Proposal Sent,9.4,11,True,Agent C,0.0,2025-12-26,True
LEAD-000146,2025-02-16,Website,Al Fursan,West,Apartment,3M-5M,Saudi,44,Contacted,15.6,2,False,Agent C,0.0,2025-12-22,True
LEAD-000147,2025-04-17,Referral,Al Bayan,South,Apartment,3M-5M,UAE,97,Won,22.0,18,False,Agent F,3642977.0,2025-10-02,False
LEAD-000148,2025-03-12,Social Media,Dar Al Salam,West,Apartment,3M-5M,Egyptian,28,Qualified,12.4,5,False,Agent F,0.0,2025-12-29,True
LEAD-000149,2025-04-13,Website,Al Bayan,South,Villa,2M-3M,UAE,38,Site Visit,0.8,12,True,Agent D,0.0,2025-12-28,True
LEAD-000150,2025-06-19,Walk-in,Warefa,North,Apartment,500K-1M,Saudi,45,Negotiation,2.7,9,False,Agent E,0.0,2025-12-28,True
LEAD-000151,2025-03-07,Social Media,Al Bayan,South,Apartment,1M-2M,UAE,65,Qualified,2.3,6,True,Agent D,0.0,2025-12-21,True
LEAD-000152,2025-07-12,Call Center,Dar Al Salam,West,Apartment,10M+,Saudi,67,Qualified,2.4,5,True,Agent F,0.0,2025-12-19,True
LEAD-000153,2025-07-16,Partner Agency,Al Rimal,East,Penthouse,1M-2M,UAE,21,Qualified,33.2,1,False,Agent B,0.0,2025-12-28,True
LEAD-000154,2024-10-21,Referral,Sedra,North,Apartment,500K-1M,Saudi,55,Qualified,30.7,4,True,Agent E,0.0,2025-12-18,True
LEAD-000155,2025-09-09,Social Media,Al Fursan,West,Villa,1M-2M,Pakistani,48,Qualified,22.4,5,True,Agent A,0.0,2025-12-19,False
LEAD-000156,2025-09-10,Website,Al Rimal,East,Apartment,1M-2M,Saudi,46,Contacted,15.8,3,True,Agent E,0.0,2025-12-22,False
LEAD-000157,2024-05-21,Exhibition,Al Rimal,East,Duplex,500K-1M,Indian,48,Qualified,35.3,2,False,Agent E,0.0,2025-12-23,True
LEAD-000158,2025-09-20,Website,Al Rimal,East,Villa,3M-5M,Egyptian,70,Proposal Sent,9.6,6,True,Agent F,0.0,2025-12-26,False
LEAD-000159,2025-05-31,Partner Agency,Al Jawharah,East,Apartment,2M-3M,UAE,62,Contacted,8.6,7,False,Agent B,0.0,2025-12-29,True
LEAD-000160,2025-07-14,Website,Al Bayan,South,Penthouse,2M-3M,Pakistani,57,Qualified,3.5,3,False,Agent B,0.0,2025-12-20,False
LEAD-000161,2025-03-22,Referral,Marafy,South,Townhouse,5M-10M,Egyptian,55,Negotiation,20.7,8,True,Agent C,0.0,2025-12-27,False
LEAD-000162,2025-05-18,Website,Marafy,South,Villa,3M-5M,Jordanian,73,Site Visit,29.6,8,True,Agent B,0.0,2025-12-20,True
LEAD-000163,2024-09-24,Website,Alarous,North,Townhouse,5M-10M,Saudi,100,Contacted,5.4,3,False,Agent C,0.0,2025-12-27,True
LEAD-000164,2024-12-31,Website,Al Jawharah,East,Penthouse,2M-3M,Other,55,Negotiation,12.1,8,True,Agent F,0.0,2025-12-22,True
LEAD-000165,2024-09-03,Website,Al Yasmin,Central,Apartment,2M-3M,Indian,33,Lost,20.5,16,True,Agent C,0.0,2024-11-08,False
LEAD-000166,2025-01-11,Referral,Al Fursan,West,Townhouse,1M-2M,Egyptian,55,Contacted,14.9,4,False,Agent F,0.0,2025-12-31,True
LEAD-000167,2025-11-22,Partner Agency,Alarous,North,Townhouse,3M-5M,Indian,19,Won,7.6,15,False,Agent C,3437339.0,2025-12-27,False
LEAD-000168,2024-09-28,Website,Alarous,North,Apartment,500K-1M,Saudi,41,Won,3.9,14,True,Agent D,832437.0,2024-11-20,False
LEAD-000169,2024-05-22,Website,Alarous,North,Apartment,2M-3M,Pakistani,46,Won,0.7,13,False,Agent C,2805396.0,2024-10-26,False
LEAD-000170,2025-03-18,Website,Marafy,South,Townhouse,1M-2M,UAE,45,Won,7.8,10,True,Agent F,1688134.0,2025-08-21,False
LEAD-000171,2024-03-23,Email Campaign,Alarous,North,Apartment,3M-5M,Saudi,67,Qualified,24.7,3,True,Agent F,0.0,2025-12-27,True
LEAD-000172,2025-04-09,Website,Sedra,North,Townhouse,1M-2M,Jordanian,28,Negotiation,0.6,6,False,Agent B,0.0,2025-12-23,True
LEAD-000173,2025-08-20,Partner Agency,Al Bayan,South,Townhouse,3M-5M,Saudi,17,Proposal Sent,10.2,10,False,Agent D,0.0,2025-12-27,True
LEAD-000174,2024-07-19,Partner Agency,Al Nargis,Central,Penthouse,500K-1M,Other,27,Qualified,2.2,4,True,Agent E,0.0,2025-12-29,True
LEAD-000175,2025-05-19,Exhibition,Al Nargis,Central,Apartment,500K-1M,Saudi,42,Qualified,49.5,3,True,Agent F,0.0,2025-12-26,False
LEAD-000176,2025-12-22,Social Media,Al Fursan,West,Apartment,5M-10M,Saudi,9,Contacted,11.7,1,True,Agent E,0.0,2025-12-28,True
LEAD-000177,2025-10-14,Referral,Sedra,North,Villa,1M-2M,Saudi,58,Won,10.2,11,True,Agent C,1294974.0,2025-10-29,False
LEAD-000178,2024-12-09,Website,Al Jawharah,East,Penthouse,2M-3M,American,41,Negotiation,0.6,9,True,Agent F,0.0,2025-12-19,True
